noms,transfriendly,source
Israël Nisand,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
René Frydman,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Manuel Maidenberg,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Jean-Daniel Lalau,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Hélène Godefroy,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Laetitia Petit,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Caroline Valentin,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
François Richard,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Anne Brun,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Paul Denis,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Thierry Lamote,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Maurice Berger,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Myriam Szejer,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Florence Peyrefitte,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Chantal Bousquet,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Jean-Pierre Lebrun,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Odile Marcombes,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Eva-Marie Golder,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Barbara Goutte,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Anne-Laure Boch,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Gérard Fitoussi,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Patrice Lévy,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Michaël Saada,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
André Versaille,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Sara Daniel,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Pascale Belot-Fourcade,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Jean Giot,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Michaël Saada,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Rémi Pellet,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Catherine Weismann Arcache,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Bertrand Mathieu,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Françoise Besson,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
François-Xavier Clément,False,https://www.lepoint.fr/societe/transactivisme-ces-censeurs-qui-infiltrent-l-universite-27-02-2024-2553603_23.php
Agnès Condat,True,https://www.politis.fr/articles/2024/05/nous-psychologues-professeur%C2%B7es-et-etudiant%C2%B7es-en-psychologie-refusons-que-notre-discipline-soit-instrumentalisee-a-des-fins-transphobes/
Anne Mercier,True,https://www.politis.fr/articles/2024/05/nous-psychologues-professeur%C2%B7es-et-etudiant%C2%B7es-en-psychologie-refusons-que-notre-discipline-soit-instrumentalisee-a-des-fins-transphobes/
Benjamin Le Hénaff,True,https://www.politis.fr/articles/2024/05/nous-psychologues-professeur%C2%B7es-et-etudiant%C2%B7es-en-psychologie-refusons-que-notre-discipline-soit-instrumentalisee-a-des-fins-transphobes/
Chrystelle Lagrange,True,https://www.politis.fr/articles/2024/05/nous-psychologues-professeur%C2%B7es-et-etudiant%C2%B7es-en-psychologie-refusons-que-notre-discipline-soit-instrumentalisee-a-des-fins-transphobes/
Mila Signorelli,True,https://www.politis.fr/articles/2024/05/nous-psychologues-professeur%C2%B7es-et-etudiant%C2%B7es-en-psychologie-refusons-que-notre-discipline-soit-instrumentalisee-a-des-fins-transphobes/
Vincent Angel,True,https://www.politis.fr/articles/2024/05/nous-psychologues-professeur%C2%B7es-et-etudiant%C2%B7es-en-psychologie-refusons-que-notre-discipline-soit-instrumentalisee-a-des-fins-transphobes/
Anne-Laure Boch,False,https://www.lefigaro.fr/vox/societe/lettre-de-soutien-aux-medecins-poursuivis-par-l-association-outrans-20230331
Claire Squires,False,https://www.lefigaro.fr/vox/societe/lettre-de-soutien-aux-medecins-poursuivis-par-l-association-outrans-20230331
Manuel Maidenberg,False,https://www.lefigaro.fr/vox/societe/lettre-de-soutien-aux-medecins-poursuivis-par-l-association-outrans-20230331
Fiot Elodie,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Gayet claire,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Anne-Sophie Lambert,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Linet Thelma,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Faucher Philippe,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Mouton Charlotte,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Delcour Clémence,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Le Guiner Alexandra,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Lechwar Jonathan,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Kenigsberg Margot,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
Leroy Baptiste,True,https://trajectoiresjeunestrans.fr/actualites/tribune-mineurs-transgenres-aujourdhui-la-menace-dinterdire-les-transitions-medicales-et-chirurgicales-sintensifie/
